RS	station	elevation
676.1	0.0	0.401
676.1	7.042	3.922
676.1	10.042	3.922
676.1	13.132	1.862
676.1	15.282	1.862
676.1	15.282	3.062
676.1	15.532	3.062
676.1	15.532	1.862
676.1	15.532	-0.938
676.1	26.741	-0.938
676.1	45.531	-0.938
676.1	45.531	1.862
676.1	45.531	3.062
676.1	45.781	3.062
676.1	45.781	1.862
676.1	47.931	1.862
676.1	51.021	3.922
676.1	54.021	3.922
676.1	59.714	1.076
725.4	0.0	0.669
725.4	6.506	3.922
725.4	9.506	3.922
725.4	12.611	1.852
725.4	14.761	1.852
725.4	14.761	3.052
725.4	15.011	3.052
725.4	15.011	1.852
725.4	15.011	-0.948
725.4	26.221	-0.948
725.4	45.01	-0.948
725.4	45.01	1.852
725.4	45.01	3.052
725.4	45.26	3.052
725.4	45.26	1.852
725.4	47.41	1.852
725.4	50.519	3.922
725.4	53.519	3.922
725.4	60.339	0.512
776.7	0.0	0.911
776.7	6.022	3.922
776.7	9.022	3.922
776.7	12.142	1.842
776.7	14.292	1.842
776.7	14.292	3.042
776.7	14.542	3.042
776.7	14.542	1.842
776.7	14.542	-0.958
776.7	25.752	-0.958
776.7	44.541	-0.958
776.7	44.541	1.842
776.7	44.541	3.042
776.7	44.791	3.042
776.7	44.791	1.842
776.7	46.941	1.842
776.7	50.06	3.922
776.7	53.06	3.922
776.7	59.859	0.523
854.47	0.0	0.768
854.47	6.308	3.922
854.47	9.308	3.922
854.47	12.443	1.832
854.47	14.593	1.832
854.47	14.593	3.032
854.47	14.843	3.032
854.47	14.843	1.832
854.47	14.843	-0.968
854.47	26.052	-0.968
854.47	44.841	-0.968
854.47	44.841	1.832
854.47	44.841	3.032
854.47	45.091	3.032
854.47	45.091	1.832
854.47	47.241	1.832
854.47	50.38	3.922
854.47	53.38	3.922
854.47	57.512	1.856
876.84	0.0	0.973
876.84	5.897	3.922
876.84	8.897	3.922
876.84	12.047	1.822
876.84	14.197	1.822
876.84	14.197	3.022
876.84	14.447	3.022
876.84	14.447	1.822
876.84	14.447	-0.978
876.84	25.657	-0.978
876.84	44.446	-0.978
876.84	44.446	1.822
876.84	44.446	3.022
876.84	44.696	3.022
876.84	44.696	1.822
876.84	46.846	1.822
876.84	49.994	3.922
876.84	52.994	3.922
876.84	58.32	1.259
925.98	0.0	0.735
925.98	6.373	3.922
925.98	9.373	3.922
925.98	12.523	1.822
925.98	14.673	1.822
925.98	14.673	3.022
925.98	14.923	3.022
925.98	14.923	1.822
925.98	14.923	-0.978
925.98	26.133	-0.978
925.98	44.922	-0.978
925.98	44.922	1.822
925.98	44.922	3.022
925.98	45.172	3.022
925.98	45.172	1.822
925.98	47.322	1.822
925.98	50.476	3.922
925.98	53.476	3.922
925.98	59.598	0.861
976.98	0.0	0.432
976.98	6.956	3.91
976.98	9.956	3.91
976.98	13.121	1.8
976.98	15.271	1.8
976.98	15.271	3.0
976.98	15.521	3.0
976.98	15.521	1.8
976.98	15.521	-1.0
976.98	26.73	-1.0
976.98	45.52	-1.0
976.98	45.52	1.8
976.98	45.52	3.0
976.98	45.77	3.0
976.98	45.77	1.8
976.98	47.92	1.8
976.98	51.09	3.91
976.98	54.09	3.91
976.98	60.668	0.621
1033.79	0.0	0.157
1033.79	7.506	3.91
1033.79	10.506	3.91
1033.79	13.686	1.79
1033.79	15.836	1.79
1033.79	15.836	2.99
1033.79	16.086	2.99
1033.79	16.086	1.79
1033.79	16.086	-1.01
1033.79	27.296	-1.01
1033.79	46.085	-1.01
1033.79	46.085	1.79
1033.79	46.085	2.99
1033.79	46.335	2.99
1033.79	46.335	1.79
1033.79	48.485	1.79
1033.79	51.669	3.91
1033.79	54.669	3.91
1033.79	61.176	0.656
1076.46	0.0	0.383
1076.46	7.057	3.911
1076.46	10.057	3.911
1076.46	13.237	1.79
1076.46	15.387	1.79
1076.46	15.387	2.99
1076.46	15.637	2.99
1076.46	15.637	1.79
1076.46	15.637	-1.01
1076.46	26.847	-1.01
1076.46	45.636	-1.01
1076.46	45.636	1.79
1076.46	45.636	2.99
1076.46	45.886	2.99
1076.46	45.886	1.79
1076.46	48.036	1.79
1076.46	51.219	3.911
1076.46	54.219	3.911
1076.46	60.756	0.642
1104.84	0.0	0.59
1104.84	6.64	3.91
1104.84	9.64	3.91
1104.84	12.85	1.77
1104.84	15.0	1.77
1104.84	15.0	2.97
1104.84	15.25	2.97
1104.84	15.25	1.77
1104.84	15.25	-1.03
1104.84	26.459	-1.03
1104.84	45.249	-1.03
1104.84	45.249	1.77
1104.84	45.249	2.97
1104.84	45.499	2.97
1104.84	45.499	1.77
1104.84	47.649	1.77
1104.84	50.862	3.91
1104.84	53.862	3.91
1104.84	60.224	0.729
1177.03	0.0	2.841
1177.03	2.139	3.91
1177.03	5.139	3.91
1177.03	8.364	1.76
1177.03	10.464	1.76
1177.03	10.464	2.67
1177.03	10.764	2.67
1177.03	10.764	1.47
1177.03	10.764	-1.046
1177.03	40.762	-1.046
1177.03	40.762	1.47
1177.03	40.762	2.674
1177.03	41.064	2.674
1177.03	41.064	1.764
1177.03	43.162	1.764
1177.03	46.389	3.91
1177.03	49.389	3.91
1177.03	55.983	0.613
1222.0	0.0	2.841
1222.0	2.139	3.91
1222.0	5.139	3.91
1222.0	8.364	1.76
1222.0	10.464	1.76
1222.0	10.464	2.67
1222.0	10.764	2.67
1222.0	10.764	1.47
1222.0	10.764	-1.046
1222.0	40.762	-1.046
1222.0	40.762	1.47
1222.0	40.762	2.674
1222.0	41.064	2.674
1222.0	41.064	1.764
1222.0	43.162	1.764
1222.0	46.389	3.91
1222.0	49.389	3.91
1222.0	55.983	0.613
1277.85	0.0	0.807
1277.85	6.206	3.91
1277.85	9.206	3.91
1277.85	12.461	1.74
1277.85	14.561	1.74
1277.85	14.561	2.65
1277.85	14.861	2.65
1277.85	14.861	1.45
1277.85	14.861	-1.066
1277.85	44.86	-1.066
1277.85	44.86	1.45
1277.85	44.86	2.654
1277.85	45.161	2.654
1277.85	45.161	1.744
1277.85	47.26	1.744
1277.85	50.513	3.91
1277.85	53.513	3.91
1277.85	59.947	0.693
1322.91	0.0	1.123
1322.91	5.573	3.91
1322.91	8.573	3.91
1322.91	11.828	1.74
1322.91	13.928	1.74
1322.91	13.928	2.65
1322.91	14.228	2.65
1322.91	14.228	1.45
1322.91	14.228	-1.066
1322.91	44.227	-1.066
1322.91	44.227	1.45
1322.91	44.227	2.654
1322.91	44.528	2.654
1322.91	44.528	1.744
1322.91	46.627	1.744
1322.91	49.886	3.91
1322.91	52.886	3.91
1322.91	59.447	0.593
1376.44	0.0	1.61
1376.44	4.579	3.9
1376.44	7.579	3.9
1376.44	10.85	1.72
1376.44	12.949	1.72
1376.44	12.949	2.63
1376.44	13.249	2.63
1376.44	13.249	1.43
1376.44	13.25	-1.086
1376.44	43.248	-1.086
1376.44	43.248	1.43
1376.44	43.248	2.634
1376.44	43.549	2.634
1376.44	43.549	1.724
1376.44	45.648	1.724
1376.44	48.923	3.9
1376.44	51.923	3.9
1376.44	58.469	0.573
1423.08	0.0	0.866
1423.08	6.068	3.9
1423.08	9.068	3.9
1423.08	12.338	1.72
1423.08	14.438	1.72
1423.08	14.438	2.63
1423.08	14.738	2.63
1423.08	14.738	1.43
1423.08	14.738	-1.086
